Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic
,,,,,,,,,,,,35.0,-5624.35066
,,,,,,,,,,,,35.0,-5699.23913
,,,,,,,,,,,,35.0,-5624.35066
,,,,,,,,,,,,36.0,-5906.96663
,,,,,,,,,,,,34.0,-5415.26913
,,,,,,,,,,,,35.0,-6038.83463
,,,,,,,,,,,,35.0,-5706.94863
,,,,,,,,,,,,35.0,-5610.78063
,,,,,,,,,,,,36.0,-5770.80213
,,,,,,,,,,,,35.0,-6245.68413
,,,,,,,,,,,,35.0,-5593.23816
,,,,,,,,,,,,35.0,-5906.96663
,,,,,,,,,,,,35.0,-5699.23913
,,,,,,,,,,,,34.0,-5415.26913
,,,,,,,,,,,,34.0,-6038.83463
,,,,,,,,,,,,35.0,-5706.94863
,,,,,,,,,,,,35.0,-5610.78063
,,,,,,,,,,,,35.0,-5770.80213
,,,,,,,,,,,,35.0,-6245.68413
,,,,,,,,,,,,35.0,-5593.23816
