Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic
,,,,,,,,,,,,39.0,-4850.89676
,,,,,,,,,,,,40.0,-5170.2564
,,,,,,,,,,,,39.0,-4850.89676
,,,,,,,,,,,,40.0,-5598.9034
,,,,,,,,,,,,39.0,-5029.8774
,,,,,,,,,,,,40.0,-5344.0354
,,,,,,,,,,,,40.0,-5115.5459
,,,,,,,,,,,,38.0,-5355.9119
,,,,,,,,,,,,38.0,-5444.1394
,,,,,,,,,,,,40.0,-5465.3554
,,,,,,,,,,,,39.0,-4891.2659
,,,,,,,,,,,,40.0,-5598.9034
,,,,,,,,,,,,40.0,-5170.2564
,,,,,,,,,,,,40.0,-5029.8774
,,,,,,,,,,,,39.0,-5344.0354
,,,,,,,,,,,,40.0,-5115.5459
,,,,,,,,,,,,40.0,-5355.9119
,,,,,,,,,,,,40.0,-5444.1394
,,,,,,,,,,,,40.0,-5465.3554
,,,,,,,,,,,,39.0,-4891.2659
