,Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,Heuristic Time,IR,AP
0,1500.0,0.05,1.0,9.0,0.0,0.03999,0.18412,234.8151,248.28233,0.03999,4211.0,2252.0,522.0,238.35318,,-258.46556,0.0
1,1500.0,0.05,2.0,3.0,1.0,0.0,0.18412,234.8151,238.35318,0.0,4211.0,4307.0,0.14035,238.35318,,-258.46556,0.0
2,1500.0,0.05,3.0,10.0,0.0,0.03999,0.18412,234.8151,248.28233,0.03999,4211.0,2253.0,839.2776,238.35318,,-258.46556,0.0
3,1500.0,0.05,4.0,9.0,0.0,0.03999,0.18412,234.8151,248.28233,0.03999,4211.0,2254.0,782.80241,238.35318,,-258.46556,0.0
4,1500.0,0.05,5.0,3.0,1.0,0.0,0.18412,234.8151,238.35318,0.0,4211.0,4308.0,0.10526,238.35318,,-258.46556,0.0
5,1500.0,0.05,6.0,3.0,0.0,0.03999,0.18412,234.8151,248.28233,0.03999,4211.0,4308.0,0.0,238.35318,45.0,-258.46556,0.0
